iter	RMSE
0	2.395550428
1	2.286011474
2	2.194801634
3	2.113899681
4	2.042228907
5	1.98390164
6	1.931921124
7	1.886597032
8	1.848209848
9	1.812797261
10	1.782258516
11	1.756870531
12	1.736237453
13	1.716815146
14	1.700536596
15	1.686135641
16	1.673934532
17	1.662042376
18	1.648805592
19	1.638320074
20	1.628745586
21	1.622524197
22	1.615521516
23	1.60859571
24	1.604510457
25	1.598179234
26	1.594701686
27	1.58974544
28	1.584845388
29	1.579328383
30	1.576405941
31	1.574119297
32	1.570996046
33	1.568316661
34	1.565026901
35	1.562427867
36	1.559300369
37	1.557771882
38	1.55617825
39	1.554775531
40	1.551638491
41	1.549611385
42	1.547224327
43	1.54602734
44	1.543390306
45	1.541959304
46	1.53883572
47	1.536501809
48	1.535661474
49	1.534450216
50	1.5333074
51	1.531404395
52	1.530112167
53	1.529047924
54	1.528256979
55	1.526757371
56	1.525331389
57	1.524389593
58	1.522377547
59	1.521588775
60	1.520332253
61	1.519684418
62	1.517177102
63	1.516237806
64	1.514525126
65	1.513722481
66	1.512505244
67	1.511919398
68	1.511407889
69	1.510802332
70	1.51027227
71	1.50982562
72	1.509231427
73	1.508759922
74	1.507546049
75	1.507287157
76	1.506041276
77	1.504405292
78	1.503430496
79	1.502851882
80	1.501731876
81	1.501239513
82	1.500314966
83	1.499922766
84	1.498797582
85	1.497870901
86	1.497671125
87	1.497458247
88	1.497288116
89	1.496193285
90	1.495715015
91	1.495162409
92	1.494601718
93	1.493677843
94	1.493006554
95	1.492117294
96	1.49115761
97	1.490687115
98	1.490420062
99	1.489514309
100	1.488925742
101	1.488604337
102	1.488320153
103	1.488078346
104	1.487409689
105	1.487166589
106	1.486015283
107	1.48533661
108	1.484974992
109	1.484695023
110	1.48450122
111	1.48368813
112	1.483496158
113	1.482964036
114	1.482445312
115	1.482316703
116	1.481480678
117	1.481139379
118	1.480972857
119	1.48052972
120	1.479840323
121	1.479700317
122	1.479318894
123	1.47857603
124	1.477935118
125	1.47727988
126	1.477149164
127	1.476579088
128	1.476384614
129	1.475892784
130	1.47529496
131	1.475196639
132	1.47503136
133	1.474649574
134	1.474017796
135	1.47395947
136	1.473862064
137	1.473470924
138	1.473161465
139	1.472855796
140	1.472540798
141	1.472062944
142	1.471618599
143	1.471563539
144	1.471436308
145	1.471314957
146	1.471270278
147	1.470826337
148	1.470551437
149	1.470280043
150	1.470095621
151	1.469386546
152	1.469237205
153	1.468737767
154	1.468522427
155	1.468165991
156	1.468086382
157	1.467839757
158	1.467589197
159	1.467130839
160	1.466896535
161	1.466488718
162	1.466361414
163	1.466145393
164	1.46594381
165	1.465606646
166	1.465575547
167	1.465339907
168	1.465140911
169	1.464643342
170	1.464303826
171	1.464104453
172	1.46368514
173	1.463410795
174	1.463247135
175	1.463217446
176	1.462835857
177	1.462762247
178	1.462306527
179	1.461954355
180	1.461576145
181	1.461343026
182	1.461274995
183	1.461023243
184	1.460830447
185	1.460695574
186	1.460533375
187	1.460216127
188	1.459822315
189	1.459508125
190	1.4591528
191	1.459121785
192	1.458775956
193	1.458411402
194	1.458248316
195	1.457958681
196	1.457699353
197	1.457393259
198	1.457369775
199	1.457316341
200	1.45709688
201	1.456935668
202	1.456798776
203	1.45663521
204	1.456543387
205	1.45630551
206	1.456002567
207	1.455869835
208	1.455637704
209	1.45546371
210	1.455104087
211	1.454786541
212	1.45459949
213	1.454324653
214	1.454184467
215	1.45415765
216	1.454138991
217	1.453975382
218	1.453745237
219	1.45368274
220	1.453502978
221	1.453235667
222	1.453048443
223	1.45278251
224	1.452648916
225	1.452482944
226	1.452216118
227	1.452197088
228	1.452008697
229	1.451732033
230	1.451465671
231	1.451221551
232	1.450951345
233	1.450882317
234	1.450766239
235	1.450645874
236	1.450385283
237	1.450222465
238	1.450074828
239	1.449889561
240	1.449852548
241	1.449577742
242	1.449466848
243	1.449296311
244	1.449182236
245	1.449014612
246	1.448716481
247	1.448507645
248	1.448327633
249	1.448241933
250	1.447911666
251	1.447715468
252	1.447698129
253	1.447646068
254	1.447421049
255	1.447247406
256	1.447057697
257	1.446887104
258	1.446818254
259	1.446718387
260	1.446684868
261	1.446567625
262	1.446407978
263	1.446386674
264	1.446192345
265	1.446172419
266	1.446161102
267	1.446119633
268	1.446025717
269	1.445922309
270	1.445757018
271	1.445545593
272	1.445532058
273	1.445424582
274	1.44530905
275	1.445061768
276	1.444841513
277	1.444710363
278	1.444463276
279	1.444384963
280	1.444227376
281	1.444022165
282	1.443803164
283	1.443667445
284	1.443468661
285	1.443224914
286	1.442924866
287	1.442793097
288	1.44267363
289	1.442620653
290	1.442472972
291	1.442306293
292	1.442088316
293	1.441822422
294	1.441791817
295	1.441722416
296	1.441624752
297	1.441452954
298	1.441330973
299	1.441204125
