iter	Passed	Remaining
0	5	1602
1	10	1618
2	16	1643
3	21	1612
4	26	1577
5	34	1681
6	39	1664
7	45	1678
8	51	1653
9	56	1651
10	63	1670
11	71	1712
12	76	1688
13	83	1698
14	89	1707
15	97	1739
16	104	1736
17	110	1737
18	117	1737
19	122	1715
20	132	1758
21	139	1760
22	148	1782
23	154	1775
24	170	1873
25	177	1866
26	183	1857
27	189	1845
28	195	1829
29	200	1807
30	208	1810
31	216	1810
32	223	1805
33	227	1783
34	232	1760
35	238	1746
36	242	1724
37	247	1704
38	252	1690
39	258	1677
40	263	1664
41	270	1661
42	275	1646
43	281	1635
44	287	1628
45	292	1612
46	296	1597
47	303	1593
48	308	1578
49	313	1565
50	318	1556
51	324	1545
52	329	1534
53	337	1539
54	342	1527
55	350	1526
56	355	1517
57	361	1507
58	369	1509
59	374	1497
60	380	1492
61	388	1490
62	393	1481
63	403	1486
64	408	1475
65	415	1473
66	420	1463
67	425	1451
68	431	1443
69	437	1436
70	442	1425
71	449	1422
72	454	1413
73	460	1407
74	466	1400
75	471	1391
76	479	1389
77	485	1382
78	491	1376
79	499	1372
80	504	1364
81	513	1364
82	518	1356
83	527	1355
84	533	1348
85	540	1344
86	545	1335
87	550	1327
88	559	1325
89	564	1316
90	573	1317
91	579	1310
92	587	1306
93	594	1303
94	600	1295
95	608	1293
96	615	1287
97	621	1280
98	627	1274
99	632	1265
100	639	1259
101	644	1250
102	648	1240
103	653	1232
104	658	1222
105	662	1212
106	667	1204
107	673	1196
108	677	1186
109	681	1177
110	686	1169
111	692	1161
112	696	1151
113	701	1143
114	705	1135
115	711	1128
116	717	1121
117	721	1112
118	725	1103
119	730	1096
120	736	1089
121	742	1082
122	747	1075
123	751	1066
124	756	1058
125	762	1053
126	768	1046
127	773	1039
128	779	1033
129	784	1026
130	790	1019
131	796	1013
132	801	1006
133	806	998
134	811	992
135	816	984
136	821	977
137	828	972
138	833	965
139	838	958
140	844	951
141	849	944
142	854	938
143	860	932
144	865	925
145	871	919
146	876	911
147	881	905
148	890	902
149	896	896
150	903	891
151	911	887
152	924	888
153	931	882
154	936	876
155	942	870
156	948	863
157	955	858
158	962	853
159	977	855
160	985	850
161	990	843
162	996	837
163	1002	831
164	1008	825
165	1013	818
166	1018	811
167	1023	803
168	1027	796
169	1033	790
170	1038	783
171	1043	776
172	1048	769
173	1053	762
174	1057	755
175	1062	748
176	1067	741
177	1071	734
178	1076	727
179	1082	721
180	1086	714
181	1090	707
182	1095	700
183	1099	693
184	1104	686
185	1108	679
186	1115	673
187	1119	666
188	1123	659
189	1128	653
190	1132	646
191	1136	639
192	1140	632
193	1145	625
194	1149	619
195	1153	612
196	1158	605
197	1162	598
198	1166	592
199	1170	585
200	1175	579
201	1180	572
202	1185	566
203	1189	559
204	1194	553
205	1198	547
206	1203	540
207	1208	534
208	1212	528
209	1217	521
210	1222	515
211	1226	509
212	1230	502
213	1235	496
214	1241	490
215	1245	484
216	1249	478
217	1254	471
218	1258	465
219	1263	459
220	1268	453
221	1272	447
222	1277	441
223	1282	435
224	1287	429
225	1291	422
226	1296	416
227	1301	411
228	1306	404
229	1310	398
230	1316	393
231	1320	387
232	1324	380
233	1329	374
234	1334	369
235	1338	363
236	1343	357
237	1348	351
238	1352	345
239	1356	339
240	1361	333
241	1367	327
242	1371	321
243	1376	315
244	1381	310
245	1385	304
246	1389	298
247	1395	292
248	1399	286
249	1404	280
250	1408	275
251	1413	269
252	1417	263
253	1422	257
254	1428	252
255	1433	246
256	1438	240
257	1443	234
258	1447	229
259	1452	223
260	1457	217
261	1462	212
262	1466	206
263	1471	200
264	1476	194
265	1480	189
266	1484	183
267	1490	177
268	1494	172
269	1499	166
270	1504	161
271	1509	155
272	1514	149
273	1519	144
274	1523	138
275	1527	132
276	1532	127
277	1537	121
278	1542	116
279	1546	110
280	1551	104
281	1557	99
282	1561	93
283	1565	88
284	1570	82
285	1575	77
286	1579	71
287	1585	66
288	1589	60
289	1594	54
290	1599	49
291	1603	43
292	1607	38
293	1612	32
294	1617	27
295	1621	21
296	1625	16
297	1631	10
298	1635	5
299	1639	0
